developer_name,project_name,property_type,rooms_count,area,price_total,completion_year,address,main_photo_url,gallery_photos_urls,floor_plan_url
Ava Dom,Режиссёр,Квартира,1,55.2,"7,338,738",2026,"г. Краснодар, ул. Старокубанская, д. 100/6",,,
Ava Dom,Режиссёр,Квартира,1,51.1,"7,234,895",2026,"г. Краснодар, ул. Старокубанская, д. 100/6",https://domli-properties.storage.yandexcloud.net/property-photos/2/photo-7902ff7c-56c1-4a38-92d4-7c499df75bae.jpg,https://domli-properties.storage.yandexcloud.net/property-photos/2/photo-7902ff7c-56c1-4a38-92d4-7c499df75bae.jpg,
Ava Dom,Режиссёр,Квартира,2,60.9,"7,985,760",2026,"г. Краснодар, ул. Старокубанская, д. 100/6",https://domli-properties.storage.yandexcloud.net/property-photos/3/photo-38550349-b633-45ed-a5a6-d98d97e49ea4.jpg,https://domli-properties.storage.yandexcloud.net/property-photos/3/photo-38550349-b633-45ed-a5a6-d98d97e49ea4.jpg,
Ava Dom,Режиссёр,Квартира,3,91.8,"12,399,750",2026,"г. Краснодар, ул. Старокубанская, д. 100/6",https://domli-properties.storage.yandexcloud.net/property-photos/4/photo-21daa584-d9cb-46a3-808a-23b68afe1164.jpg,https://domli-properties.storage.yandexcloud.net/property-photos/4/photo-21daa584-d9cb-46a3-808a-23b68afe1164.jpg,
Ava Dom,Режиссёр,Апартаменты,9,450.1,"58,951,310",2026,"г. Краснодар, ул. Старокубанская, д. 100/6",,,
Ava Dom,Небо,Квартира,1,41.9,"4,761,275",2028,"г. Краснодар, ул. Ярославская, д. 115",,,
Ava Dom,Небо,Квартира,2,58.5,"6,135,750",2028,"г. Краснодар, ул. Ярославская, д. 115",,,
Ava Dom,Небо,Квартира,3,68.2,"7,981,740",2028,"г. Краснодар, ул. Ярославская, д. 115",,,
Ava Dom,Небо,Квартира,3,64.1,"7,845,300",2028,"г. Краснодар, ул. Ярославская, д. 115",,,
Ava Dom,Смородина,Квартира,1,32.9,"4,761,275",2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",,,
Ava Dom,Смородина,Квартира,2,51.7,"6,142,500",2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",,,
Ava Dom,Смородина,Квартира,2,49.7,"6,244,880",2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",,,
Ava Dom,Смородина,Квартира,3,68.2,"7,845,300",2028,"г. Краснодар, ул. Владимира Жириновского, д. 1",,,
Ava Dom,Новелла,Квартира,1,37.4,"4,823,560",Сдан,"г. Краснодар, ул.Питерская, д. 40",,,
Ava Dom,Новелла,Квартира,3,82.7,"9,317,650",Сдан,"г. Краснодар, ул.Питерская, д. 40",,,
Ava Dom,The Grand Palace,Коммерческая Недвижимость,*,190.7,"51,516,000",Сдан,"г. Краснодар, ул.Уральская, д. 75/6",,,
Ava Dom,Небо,Коммерческая Недвижимость,*,768.2,"109,556,850",2028,"г. Краснодар, ул. Ярославская, д. 115",,,
ССК,Сегодня,Квартира,1,55.9,"5,972,400",Сдан,"г. Краснодар, ул. Ветеранов, д. 85",,,
ССК,Сегодня,Квартира,1,56.8,"6,129,000",Сдан,"г. Краснодар, ул. Ветеранов, д. 85",,,
ССК,Сегодня,Квартира,2,64.1,"7,243,300",Сдан,"г. Краснодар, ул. Ветеранов, д. 85",,,
